tconst,averageRating,numVotes
tt0218141,5.9,1807
tt0218182,6.2,1743
tt0218378,6.3,6622
tt0218379,6.4,1897
tt0218533,6.7,2643
tt0218581,5.0,2755
tt0218616,6.6,1402
tt0218619,3.9,9639
tt0218625,3.9,1751
tt0218817,6.1,30330
tt0218839,7.4,67001
tt0218864,5.8,7478
tt0218922,6.0,59827
tt0218967,6.8,119473
tt0219171,6.0,2797
tt0219288,7.5,3261
tt0219374,6.7,4102
tt0219400,5.5,6272
tt0219405,6.7,1902
tt0219519,6.3,1741
tt0219653,4.9,36508
tt0219699,6.7,74837
tt0219822,6.4,18980
tt0219854,6.1,44437
tt0219952,5.1,10954
tt0219965,6.5,70979
tt0220099,6.3,20387
tt0220100,6.1,7112
tt0220157,6.5,1334
tt0220343,5.4,1426
tt0220506,3.9,49324
tt0220580,6.8,13638
tt0220623,6.3,4703
tt0220627,6.7,7320
tt0220631,6.9,1570
tt0220827,6.2,7500
tt0221013,6.6,1090
tt0221023,7.9,1075
tt0221027,7.5,275287
tt0221069,6.2,3652
tt0221073,7.1,41547
tt0221218,5.8,39882
tt0221559,6.9,4823
tt0221563,6.0,1263
tt0221799,6.7,4599
tt0221838,6.8,2571
tt0221885,4.9,1194
tt0221889,5.8,3944
tt0221928,5.1,2168
tt0222012,7.9,14017
tt0222024,5.4,7674
tt0222150,7.0,1255
tt0222167,4.5,1171
tt0222270,6.1,8569
tt0222293,6.7,2155
tt0222812,5.7,13037
tt0222850,6.9,8192
tt0222851,7.1,24566
tt0223268,4.4,4511
tt0223832,6.5,1358
tt0223897,7.2,123931
tt0223954,6.0,2310
tt0224025,4.1,1059
tt0224578,7.2,3972
tt0225071,5.7,25715
tt0225824,6.2,1015
tt0226935,4.9,2217
tt0227005,6.3,19381
tt0227194,5.5,5693
tt0227277,7.0,6858
tt0227445,6.8,134217
tt0227538,5.6,127450
tt0227980,5.6,1013
tt0227984,6.3,50978
tt0228242,6.9,1856
tt0228333,4.9,58002
tt0228488,6.2,2074
tt0228687,7.3,6883
tt0228750,6.3,58931
tt0228786,6.9,65692
tt0228871,5.8,1324
tt0229002,6.1,1254
tt0229260,4.0,40040
tt0229340,7.2,6030
tt0229664,7.6,2414
tt0230011,6.9,134266
tt0230025,6.4,2196
tt0230030,6.1,112325
tt0230098,6.3,1122
tt0230169,5.5,5624
tt0230512,7.0,1647
tt0230600,7.6,393594
tt0230838,6.7,94645
tt0231001,6.8,4355
tt0231138,2.1,1397
tt0231402,4.8,26246
tt0231448,5.6,7844
tt0231775,5.4,24801
tt0231971,5.6,3952
tt0232079,3.7,4913
tt0232083,6.7,5984
tt0232500,6.8,420083
tt0232632,5.9,2180
tt0233142,6.0,48784
tt0233289,3.4,1120
tt0233418,6.9,1246
tt0233469,5.5,78013
tt0233600,5.8,2650
tt0233651,7.4,3053
tt0233656,3.6,1484
tt0233687,7.2,2223
tt0233841,7.8,8968
tt0234000,6.9,16508
tt0234041,6.6,1258
tt0234137,6.1,5747
tt0234215,7.2,631302
tt0234288,7.6,5394
tt0234354,5.8,11747
tt0234570,5.9,1015
tt0234652,2.9,1645
tt0234805,6.9,2469
tt0234829,5.1,16662
tt0234837,7.4,6456
tt0234853,6.7,7788
tt0234940,6.4,1122
tt0234988,7.2,1284
tt0235048,4.8,1042
tt0235280,2.8,1148
tt0235327,7.7,7185
tt0235412,5.9,1187
tt0235553,5.0,1456
tt0235606,4.8,1462
tt0235618,6.9,1194
tt0235679,5.8,15268
tt0235712,5.9,9926
tt0235737,7.0,32033
tt0236019,6.3,2268
tt0236027,7.5,24229
tt0236034,6.4,1654
tt0236126,3.2,1270
tt0236157,6.5,5216
tt0236216,7.6,6207
tt0236348,5.6,24947
tt0236388,6.8,6070
tt0236493,6.1,114186
tt0236576,7.7,2192
tt0236638,4.1,2827
tt0236640,6.2,19013
tt0236784,6.1,31163
tt0237534,7.0,71547
tt0237539,7.3,10082
tt0237572,6.8,67807
tt0237993,6.8,9939
tt0238112,5.9,35980
tt0238119,7.6,7261
tt0238137,5.5,2644
tt0238247,6.2,1146
tt0238321,6.4,1492
tt0238380,7.3,347287
tt0238546,5.2,60025
tt0238552,5.4,15733
tt0238660,6.6,4120
tt0238883,7.6,17362
tt0238891,7.5,6409
tt0238924,6.9,14191
tt0238936,7.5,47005
tt0238948,5.4,8756
tt0239060,6.0,1721
tt0239102,7.1,1485
tt0239234,6.8,2872
tt0239381,5.7,3977
tt0239395,5.2,62607
tt0239406,5.2,1087
tt0239450,5.0,4431
tt0239655,7.3,2394
tt0239670,6.0,1138
tt0239948,5.8,42687
tt0239949,5.0,13799
tt0239986,6.4,6921
tt0240149,6.6,2399
tt0240200,7.7,15365
tt0240402,5.8,5214
tt0240419,7.1,7886
tt0240462,4.7,47429
tt0240468,6.2,48550
tt0240510,6.5,35513
tt0240515,4.7,51427
tt0240641,7.0,1778
tt0240772,7.7,619999
tt0240890,6.8,121470
tt0240900,5.3,15246
tt0240912,7.8,1064
tt0240913,7.0,11415
tt0240980,6.3,2480
tt0241025,6.2,23510
tt0241223,6.5,2991
tt0241303,7.2,202125
tt0241527,7.6,857037
tt0241663,7.6,2055
tt0241760,5.8,37689
tt0241998,2.0,1647
tt0242024,6.1,1300
tt0242150,5.5,2704
tt0242193,6.9,40555
tt0242252,6.0,5596
tt0242256,8.3,7369
tt0242285,5.2,1001
tt0242423,5.5,145921
tt0242445,5.6,36950
tt0242508,4.8,4583
tt0242519,8.2,72553
tt0242527,6.2,48279
tt0242572,7.6,3595
tt0242587,7.1,10458
