tconst,region,primaryTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt7645122,AE,Plus One,2019,98,"Comedy,Drama,Romance","nm1088461,nm2671270","nm1088461,nm2671270",6.6,15989
tt7645334,AU,Landscape with Invisible Hand,2023,105,"Comedy,Drama,Sci-Fi",nm8083973,"nm8083973,nm2422917",6.0,3313
tt7645780,AU,The Wedding Guest,2018,96,Thriller,nm0935863,nm0935863,5.8,6600
tt7646322,AU,The Devil Below,2021,88,"Horror,Mystery,Thriller",nm0662086,"nm3029871,nm0419550",4.3,5556
tt7647198,CA,Love and Shukla,2017,107,"Comedy,Drama,Romance",nm5859905,"nm9429127,nm10085017,nm5859905",7.3,1019
tt7649320,CA,The Looming Storm,2017,120,Crime,nm9429750,nm9429750,6.4,1764
tt7653254,AE,Marriage Story,2019,137,"Drama,Romance",nm0000876,nm0000876,7.9,346378
tt7654872,AR,The Other Woman,2018,84,"Comedy,Drama,Romance",nm0000809,nm1725469,5.4,1908
tt7657566,AE,Death on the Nile,2022,127,"Crime,Drama,Mystery",nm0000110,"nm0338169,nm0002005",6.3,188626
tt7658384,AU,The Quietude,2018,117,"Drama,Thriller",nm0871086,"nm1110703,nm0871086",6.2,1179
tt7658610,GB,The Final Blade,2018,91,Action,nm4925484,"nm9435841,nm4925484",5.5,1700
tt7660450,CA,The Prophecy of the Armadillo,2018,99,"Comedy,Drama",nm1723252,"nm8570840,nm0557609,nm9436571,nm1285142",5.8,1167
tt7661396,DE,Beers of Joy,2019,118,Documentary,"nm8289010,nm1075770","nm8289010,nm1075770",6.2,1241
tt7662752,AR,You Go to My Head,2017,116,"Drama,Mystery,Romance",nm0166394,"nm0166394,nm6412166,nm4894758,nm0825312",7.5,3467
tt7664504,AU,Three Identical Strangers,2018,96,"Biography,Documentary,Drama",nm2268736,"nm5383102,nm2268736",7.6,39741
tt7665476,AU,The Trial,2018,140,"Documentary,History",nm1512437,nm1512437,7.3,1476
tt7666250,AT,Yuli,2018,115,"Biography,Drama,History",nm0093081,"nm0491956,nm0010169",6.9,2296
tt7666724,CA,This Is Not Berlin,2019,115,Drama,nm1377689,"nm1181458,nm1217514,nm1377689,nm1993449",6.5,1430
tt7668724,AU,The Marine 6: Close Quarters,2018,85,"Action,Drama",nm2071556,nm6091305,4.9,1681
tt7668842,CA,Enes Batur: Imagination or Reality?,2018,110,Comedy,nm0149131,"nm9442261,nm9536422,nm8154483",2.0,56005
tt7668870,AE,Searching,2018,102,"Drama,Mystery,Thriller",nm3792134,"nm3792134,nm3539578",7.6,179948
tt7669768,CA,A Father's Diary,2021,113,Drama,nm4894260,"nm4894260,nm5906716,nm4894063,nm8811856",6.9,2006
tt7670212,AU,The Golden Glove,2019,115,"Crime,Drama,Horror",nm0015359,"nm0015359,nm0835345",6.7,18250
tt7671064,AU,Brittany Runs a Marathon,2019,104,"Comedy,Drama",nm2375463,nm2375463,6.8,22240
tt7671414,AU,Thriller,2018,87,"Crime,Drama,Horror",nm1371010,"nm1371010,nm0709408",3.6,1310
tt7672068,AU,Why Don't You Just Die!,2018,99,"Comedy,Drama,Thriller",nm5001945,nm5001945,6.8,5302
tt7675404,AU,1968,2018,93,"History,Sport","nm15701090,nm0099552","nm15701090,nm0099552,nm15701098",8.0,1552
tt7679126,DE,The Best Summer of My Life,2018,91,"Comedy,Family",nm1738082,"nm3374735,nm1127839,nm0638115,nm7455450,nm2504581",5.8,1632
tt7681186,CA,The Parish,2019,81,"Horror,Thriller",nm1592117,nm0236139,3.8,1063
tt7681824,AU,We the Animals,2018,94,Drama,nm1476102,"nm10132348,nm2921777,nm1476102",6.9,4622
tt7682204,AU,Out of Time,2021,92,"Action,Drama,Sci-Fi",nm2848315,nm2848315,5.6,1472
tt7682430,AU,Howard,2018,94,"Biography,Documentary,Music",nm0353893,nm0353893,7.5,1463
tt7684228,IN,MalliRaava,2017,129,"Drama,Romance",nm9450602,nm9450602,7.8,1556
tt7689052,AU,Daphne & Velma,2018,72,"Action,Comedy,Crime",nm1151780,"nm4699932,nm7092177",4.2,2384
tt7689310,AT,The Goldfish,2019,111,Comedy,nm2285783,"nm2285783,nm1487045",6.6,2635
tt7689906,AE,Monsters and Men,2018,96,"Crime,Drama,Thriller",nm3232264,nm3232264,6.1,2709
tt7689936,AR,The Cleaners,2018,88,Documentary,"nm8146933,nm8146932","nm8146933,nm8146932,nm2828225",7.2,1829
tt7690016,AU,Never Goin' Back,2018,85,"Comedy,Crime,Drama",nm1435438,nm1435438,6.1,4072
tt7690638,AR,Soorma,2018,131,"Biography,Drama,Sport",nm1249945,"nm1249945,nm1249710,nm1872089,nm8967792",7.3,5593
tt7690670,AE,SuperFly,2018,116,"Action,Crime,Thriller",nm1962311,nm0874844,5.2,7628
tt7690762,GB,The Pact,2018,106,"Horror,Mystery,Thriller",nm2536997,"nm2553218,nm2536997,nm11696822",5.2,1276
tt7691572,GB,Cyborgs: Heroes Never Die,2017,112,"Action,Drama,War",nm1982961,nm3770838,7.5,7755
tt7692434,AE,Gangs of 18,2019,157,"Action,Drama,Thriller",nm3488838,nm3488838,5.8,2787
tt7692822,AU,Driven,2019,90,"Comedy,Horror,Thriller",nm3324272,nm1021384,5.0,3558
tt7692966,AU,The Third Wife,2018,96,Drama,nm4451190,nm4451190,6.6,2298
